snz_uid,tax_year,income,,
1,1995-03-30,52834,,
2,1995-03-30,116520,,
3,1995-03-30,90385,,
4,1995-03-30,92179,,
5,1995-03-30,51874,,
1,1996-03-30,95132,,
2,1996-03-30,96035,,
3,1996-03-30,54628,,
4,1996-03-30,66399,,
5,1996-03-30,74049,,
1,1997-03-30,102273,,
2,1997-03-30,77566,,
3,1997-03-30,15804,,
4,1997-03-30,63622,,
5,1997-03-30,53576,,
1,1998-03-30,114144,,
2,1998-03-30,118804,,
3,1998-03-30,36228,,
4,1998-03-30,84787,,
5,1998-03-30,60678,,
1,1999-03-30,55574,,
2,1999-03-30,77370,,
3,1999-03-30,53361,,
4,1999-03-30,19130,,
5,1999-03-30,111226,,
1,2000-03-30,57473,,
2,2000-03-30,20906,,
3,2000-03-30,69733,,
4,2000-03-30,42657,,
5,2000-03-30,33554,,
1,2001-03-30,114533,,
2,2001-03-30,52138,,
3,2001-03-30,43372,,
4,2001-03-30,22458,,
5,2001-03-30,27194,,
1,2002-03-30,24101,,
2,2002-03-30,49804,,
3,2002-03-30,66181,,
4,2002-03-30,45903,,
5,2002-03-30,68923,,
1,2003-03-30,92980,,
2,2003-03-30,62828,,
3,2003-03-30,20458,,
4,2003-03-30,110676,,
5,2003-03-30,17054,,
1,2004-03-30,17229,,
2,2004-03-30,112951,,
3,2004-03-30,41503,,
4,2004-03-30,55770,,
5,2004-03-30,96998,,
1,2005-03-30,102857,,
2,2005-03-30,29940,,
3,2005-03-30,78375,,
4,2005-03-30,54572,,
5,2005-03-30,53189,,
1,2006-03-30,92955,,
2,2006-03-30,46346,,
3,2006-03-30,46430,,
4,2006-03-30,43911,,
5,2006-03-30,115068,,
1,2007-03-30,27595,,
2,2007-03-30,12256,,
3,2007-03-30,99965,,
4,2007-03-30,71902,,
5,2007-03-30,62661,,
1,2008-03-30,16873,,
2,2008-03-30,95782,,
3,2008-03-30,70353,,
4,2008-03-30,84047,,
5,2008-03-30,14548,,
1,2009-03-30,70506,,
2,2009-03-30,28413,,
3,2009-03-30,77827,,
4,2009-03-30,31024,,
5,2009-03-30,13866,,
1,2010-03-30,56448,,
2,2010-03-30,106863,,
3,2010-03-30,54665,,
4,2010-03-30,96428,,
5,2010-03-30,103658,,
1,2011-03-30,109354,,
2,2011-03-30,83961,,
3,2011-03-30,44383,,
4,2011-03-30,64427,,
5,2011-03-30,83690,,
1,2012-03-30,79054,,
2,2012-03-30,83615,,
3,2012-03-30,95328,,
4,2012-03-30,26954,,
5,2012-03-30,25943,,
1,2013-03-30,88963,,
2,2013-03-30,57406,,
3,2013-03-30,15257,,
4,2013-03-30,26567,,
5,2013-03-30,32137,,
1,2014-03-30,54281,,
2,2014-03-30,46791,,
3,2014-03-30,34285,,
4,2014-03-30,117459,,
5,2014-03-30,92045,,
1,2015-03-30,71579,,
2,2015-03-30,21481,,
3,2015-03-30,86225,,
4,2015-03-30,62319,,
5,2015-03-30,47912,,
1,2016-03-30,97442,,
2,2016-03-30,45707,,
3,2016-03-30,34056,,
4,2016-03-30,68483,,
5,2016-03-30,31447,,
1,2017-03-30,91211,,
2,2017-03-30,24717,,
3,2017-03-30,27389,,
4,2017-03-30,59572,,
5,2017-03-30,31706,,
1,2018-03-30,68542,,
2,2018-03-30,80718,,
3,2018-03-30,107047,,
4,2018-03-30,95378,,
5,2018-03-30,73803,,
1,2019-03-30,82926,,
2,2019-03-30,43951,,
3,2019-03-30,113756,,
4,2019-03-30,98902,,
5,2019-03-30,58872,,
1,2020-03-30,16320,,
2,2020-03-30,101050,,
3,2020-03-30,102532,,
4,2020-03-30,69943,,
5,2020-03-30,42444,,
1,2021-03-30,44328,,
2,2021-03-30,80157,,
3,2021-03-30,30540,,
4,2021-03-30,23443,,
5,2021-03-30,103544,,
1,2022-03-30,27144,,
2,2022-03-30,59891,,
3,2022-03-30,90714,,
4,2022-03-30,95035,,
5,2022-03-30,107087,,
1,2023-03-30,99353,,
2,2023-03-30,95348,,
3,2023-03-30,117208,,
4,2023-03-30,59935,,
5,2023-03-30,43856,,
1,2024-03-30,111428,,
2,2024-03-30,74464,,
3,2024-03-30,25627,,
4,2024-03-30,49905,,
5,2024-03-30,59142,,
11,2018-03-30,104527,,
12,2018-03-30,37197,,
13,2018-03-30,109055,,
22,2018-03-30,52492,,
34,2018-03-30,46805,,
35,2018-03-30,112816,,
45,2018-03-30,23824,,
