business_nbr,quarter,quarter_start,quarter_end
222,2010Q1,2010-01-01,2010-03-31
222,2010Q2,2010-04-01,2010-06-30
222,2010Q3,2010-07-01,2010-09-30
222,2010Q4,2010-10-01,2010-12-31
333,2010Q1,2010-01-01,2010-03-31
333,2010Q2,2010-04-01,2010-06-30
333,2010Q3,2010-07-01,2010-09-30
333,2010Q4,2010-10-01,2010-12-31
444,2010Q1,2010-01-01,2010-03-31
444,2010Q2,2010-04-01,2010-06-30
444,2010Q3,2010-07-01,2010-09-30
444,2010Q4,2010-10-01,2010-12-31
555,2010Q1,2010-01-01,2010-03-31
555,2010Q2,2010-04-01,2010-06-30
555,2010Q3,2010-07-01,2010-09-30
555,2010Q4,2010-10-01,2010-12-31
