business_nbr,quarter,quarter_start,quarter_end,firm_born,firm_death,days_operating,days_operating_recent_businesses,imports,exports
222,2010Q1,2010-01-01,2010-03-31,NA,NA,90,NA,NA,NA
222,2010Q2,2010-04-01,2010-06-30,NA,NA,91,NA,9525,90000
222,2010Q3,2010-07-01,2010-09-30,NA,NA,92,NA,NA,NA
222,2010Q4,2010-10-01,2010-12-31,NA,1,2,NA,NA,NA
333,2010Q1,2010-01-01,2010-03-31,NA,NA,90,NA,68403.81,NA
333,2010Q2,2010-04-01,2010-06-30,NA,NA,91,NA,308407.78,NA
333,2010Q3,2010-07-01,2010-09-30,NA,NA,92,NA,23188.41,NA
333,2010Q4,2010-10-01,2010-12-31,NA,NA,92,NA,NA,NA
444,2010Q1,2010-01-01,2010-03-31,NA,NA,90,90,NA,93650.79
444,2010Q2,2010-04-01,2010-06-30,NA,NA,91,91,NA,NA
444,2010Q3,2010-07-01,2010-09-30,NA,NA,92,92,NA,NA
444,2010Q4,2010-10-01,2010-12-31,NA,NA,92,92,NA,NA
555,2010Q1,2010-01-01,2010-03-31,1,NA,33,33,NA,NA
555,2010Q2,2010-04-01,2010-06-30,NA,NA,91,91,NA,NA
555,2010Q3,2010-07-01,2010-09-30,NA,NA,92,92,NA,NA
555,2010Q4,2010-10-01,2010-12-31,NA,NA,92,92,49594.59,NA
