snz_uid,benefit_start,benefit_end
100,2010-05-03,2010-08-08
100,2010-08-09,2010-11-01
100,2011-04-09,2011-05-28
100,2013-07-25,2013-09-22
100,2013-11-14,2014-01-27
100,2015-12-15,2016-03-01
100,2016-12-29,2017-02-17
100,2017-08-31,2017-09-18
100,2018-12-23,2019-01-20
100,2021-02-19,2021-04-26
100,2022-01-26,2022-03-14
100,2022-08-02,2022-08-12
200,2008-03-24,2008-06-30
200,2008-07-01,2008-07-15
200,2008-11-15,2009-01-29
200,2010-08-07,2010-09-02
200,2012-03-26,2012-04-11
200,2014-10-29,2014-12-13
200,2015-02-06,2015-05-06
200,2016-07-24,2016-09-03
200,2017-03-27,2017-05-01
200,2018-11-23,2019-02-13
200,2021-03-15,2021-06-20
200,2021-08-10,2021-10-19
300,2009-12-25,2010-01-07
300,2010-01-28,2010-03-05
300,2012-09-03,2012-10-24
300,2014-01-24,2014-02-17
300,2016-03-15,2016-06-04
300,2017-12-27,2018-02-13
300,2019-03-29,2019-06-29
300,2020-08-05,2020-10-15
300,2022-03-20,2022-06-20
300,2022-06-21,2022-09-03
300,2022-09-04,2022-11-03
400,2009-07-31,2009-10-18
400,2011-06-13,2011-08-08
400,2012-11-01,2012-12-01
400,2014-04-04,2014-06-26
400,2015-02-28,2015-05-21
400,2016-05-06,2016-05-12
400,2017-08-14,2017-10-20
400,2017-11-20,2018-01-09
400,2018-08-30,2018-11-14
400,2020-06-01,2020-08-20
400,2020-08-21,2020-09-17
400,2021-07-03,2021-08-04
500,2009-03-04,2009-03-28
500,2010-03-08,2010-05-15
500,2010-05-16,2010-07-19
500,2011-07-09,2011-08-25
500,2013-11-25,2014-01-09
500,2016-06-08,2016-07-15
500,2017-11-20,2017-12-24
500,2020-05-07,2020-08-04
500,2020-08-05,2020-08-25
500,2020-12-06,2021-03-01
500,2022-08-14,2022-08-21
600,2009-04-14,2009-05-09
600,2011-08-16,2011-10-12
600,2011-10-13,2011-12-20
600,2013-03-29,2013-05-19
600,2014-11-15,2015-02-14
600,2016-12-20,2017-01-08
600,2019-04-11,2019-07-11
600,2019-09-24,2019-10-25
600,2021-07-07,2021-07-12
600,2021-10-23,2021-11-16
800,2008-10-09,2008-10-25
800,2011-01-08,2011-02-06
800,2011-11-18,2012-01-20
800,2013-02-16,2013-04-08
800,2015-01-17,2015-04-04
800,2016-02-01,2016-03-31
800,2018-08-29,2018-10-29
800,2019-06-11,2019-07-06
800,2020-07-17,2020-08-12
800,2021-06-21,2021-08-02
900,2010-04-18,2010-05-16
900,2010-05-17,2010-05-23
900,2012-03-24,2012-06-25
900,2014-07-10,2014-08-28
900,2016-08-12,2016-10-01
900,2018-02-24,2018-05-22
900,2019-01-26,2019-02-06
900,2020-09-03,2020-11-19
