age,region,col03,val03,experience,num_people,num_w_experience,num_experiences,conf_num_people,conf_num_w_experience,conf_num_experiences
younger,,type,A,hospital events,53,10,700,54,9,NA
younger,,type,B,hospital events,100,62,3100,99,60,3100
younger,,group,X,hospital events,19,1,10,18,NA,NA
younger,,group,Y,hospital events,60,37,3330,60,36,3330
older,,type,A,hospital events,47,37,1480,48,36,1480
older,,type,B,hospital events,85,45,450,84,45,450
older,,group,X,hospital events,57,47,4700,57,45,4700
older,,group,Y,hospital events,70,24,960,72,24,960
,north,type,B,hospital events,96,42,3360,96,42,3360
,north,group,X,hospital events,10,2,140,9,NA,NA
,north,group,Y,hospital events,51,15,900,51,15,NA
,south,type,A,hospital events,25,4,120,24,NA,120
,south,group,X,hospital events,5,1,70,NA,NA,NA
,south,group,Y,hospital events,88,27,1620,87,27,1620
younger,north,,,hospital events,29,21,1260,30,21,1260
younger,south,,,hospital events,59,57,3990,57,57,3990
older,north,,,hospital events,95,36,1800,96,36,1800
older,south,,,hospital events,41,21,2100,39,21,2100
younger,,type,A,driver licenses,47,4,400,48,NA,400
younger,,type,B,driver licenses,23,9,450,24,9,NA
younger,,group,X,driver licenses,31,2,180,30,NA,180
younger,,group,Y,driver licenses,55,54,3240,54,54,3240
older,,type,A,driver licenses,67,20,600,66,21,600
older,,type,B,driver licenses,53,36,3240,54,36,3240
older,,group,X,driver licenses,6,4,320,6,NA,NA
older,,group,Y,driver licenses,82,37,2220,81,36,2220
,north,type,B,driver licenses,22,6,60,21,6,NA
,north,group,X,driver licenses,98,23,1610,99,24,1610
,north,group,Y,driver licenses,87,87,3480,87,87,3480
,south,type,A,driver licenses,4,4,120,NA,NA,NA
,south,group,X,driver licenses,96,29,580,96,27,580
,south,group,Y,driver licenses,73,12,240,75,12,NA
younger,north,,,driver licenses,48,43,2580,48,42,2580
younger,south,,,driver licenses,52,19,570,51,18,NA
older,north,,,driver licenses,98,29,2610,99,27,2610
older,south,,,driver licenses,32,8,720,33,6,NA
younger,,type,A,court charges,94,34,2720,93,33,2720
younger,,type,B,court charges,15,5,250,15,NA,NA
younger,,group,X,court charges,48,1,40,48,NA,40
younger,,group,Y,court charges,29,16,480,30,18,NA
