group,group_size,value,group_seed,conf_group_size,conf_value
G1.1,16,13,101,15,12
G1.2,16,13,101,15,12
G1.3,16,13,101,15,15
G1.4,16,13,101,15,12
G2.1,17,13,102,15,12
G2.2,17,13,102,15,12
G2.3,17,13,102,15,15
G2.4,17,13,102,15,15
G3.1,19,13,103,18,12
G3.2,19,13,103,18,12
G3.3,19,13,103,18,15
G3.4,19,13,103,18,15
G4.1,20,13,104,21,12
G4.2,20,13,104,21,12
G4.3,20,13,104,21,15
G4.4,20,13,104,21,15
G5.1,22,13,105,21,12
G5.2,22,13,105,21,15
G5.3,22,13,105,21,12
G5.4,22,13,105,21,15
G6.1,23,13,106,21,12
G6.2,23,13,106,21,12
G6.3,23,13,106,21,15
G6.4,23,13,106,21,15
