age group,survey_respondents,wgt_count,measure,median score,entity count,conf_survey_respondents,conf_wgt_count,conf_median score
age 16-20,30,3379,self-rated wellbeing,260.1,9999,30,3400,260.1
age 21-25,26,2997,self-rated wellbeing,468.3,9999,24,3000,468.3
age 26-30,24,2688,self-rated wellbeing,423.2,9999,24,2700,423.2
age 31-35,9,954,self-rated wellbeing,454.2,9999,NA,NA,NA
age 36-40,33,3536,self-rated wellbeing,895.8,9999,33,3500,895.8
age 41-45,50,5650,self-rated wellbeing,808.9,9999,48,5600,808.9
age 46-50,8,1008,self-rated wellbeing,614.8,9999,9,1000,NA
age 51-55,43,4902,self-rated wellbeing,301.5,9999,42,4900,301.5
age 56-60,47,5452,self-rated wellbeing,158.4,9999,45,5500,158.4
age 61-65,9,1170,self-rated wellbeing,496.2,9999,9,1200,NA
age 66-70,11,1133,self-rated wellbeing,193.8,9999,12,1100,193.8
age 71-75,8,864,self-rated wellbeing,330.2,9999,NA,NA,NA
age 16-20,30,3379,housing quality score,194.5,9999,30,3400,194.5
age 21-25,26,2997,housing quality score,502.4,9999,24,3000,502.4
age 26-30,24,2688,housing quality score,194.2,9999,24,2700,194.2
age 31-35,9,954,housing quality score,682.5,9999,NA,NA,NA
age 36-40,33,3536,housing quality score,286,9999,33,3500,286
age 41-45,50,5650,housing quality score,411.4,9999,48,5600,411.4
age 46-50,8,1008,housing quality score,602.7,9999,9,1000,NA
age 51-55,43,4902,housing quality score,675.7,9999,42,4900,675.7
age 56-60,47,5452,housing quality score,870.4,9999,45,5500,870.4
age 61-65,9,1170,housing quality score,238.8,9999,9,1200,NA
age 66-70,11,1133,housing quality score,852.5,9999,12,1100,852.5
age 71-75,8,864,housing quality score,573.9,9999,NA,NA,NA
age 16-20,30,3379,household income,607.7,9999,30,3400,607.7
age 21-25,26,2997,household income,603.3,9999,24,3000,603.3
age 26-30,24,2688,household income,164,9999,24,2700,164
age 31-35,9,954,household income,561.8,9999,NA,NA,NA
age 36-40,33,3536,household income,265.4,9999,33,3500,265.4
age 41-45,50,5650,household income,207.2,9999,48,5600,207.2
age 46-50,8,1008,household income,569.5,9999,9,1000,NA
age 51-55,43,4902,household income,413.5,9999,42,4900,413.5
age 56-60,47,5452,household income,466.5,9999,45,5500,466.5
age 61-65,9,1170,household income,202.9,9999,9,1200,NA
age 66-70,11,1133,household income,677.1,9999,12,1100,677.1
age 71-75,8,864,household income,663.4,9999,NA,NA,NA
age 16-20,30,3379,standardised health score,718.8,7,30,3400,718.8
age 21-25,26,2997,standardised health score,124.8,3,24,3000,124.8
age 26-30,24,2688,standardised health score,334.6,3,24,2700,334.6
age 31-35,9,954,standardised health score,438.6,10,NA,NA,NA
age 36-40,33,3536,standardised health score,833,4,33,3500,833
age 41-45,50,5650,standardised health score,570.7,5,48,5600,570.7
age 46-50,8,1008,standardised health score,129,8,9,1000,NA
age 51-55,43,4902,standardised health score,604.5,15,42,4900,604.5
age 56-60,47,5452,standardised health score,804.6,5,45,5500,804.6
age 61-65,9,1170,standardised health score,372.6,9,9,1200,NA
age 66-70,11,1133,standardised health score,174.5,4,12,1100,174.5
age 71-75,8,864,standardised health score,730.8,10,NA,NA,NA
age 16-20,30,3379,self-rated sense of safety,328.2,9999,30,3400,328.2
age 21-25,26,2997,self-rated sense of safety,750.8,9999,24,3000,750.8
age 26-30,24,2688,self-rated sense of safety,303.5,9999,24,2700,303.5
age 31-35,9,954,self-rated sense of safety,738.3,9999,NA,NA,NA
age 36-40,33,3536,self-rated sense of safety,876.2,9999,33,3500,876.2
age 41-45,50,5650,self-rated sense of safety,191.1,9999,48,5600,191.1
age 46-50,8,1008,self-rated sense of safety,540.7,9999,9,1000,NA
age 51-55,43,4902,self-rated sense of safety,422.2,9999,42,4900,422.2
age 56-60,47,5452,self-rated sense of safety,867.8,9999,45,5500,867.8
age 61-65,9,1170,self-rated sense of safety,253.6,9999,9,1200,NA
age 66-70,11,1133,self-rated sense of safety,807.5,9999,12,1100,807.5
age 71-75,8,864,self-rated sense of safety,468.5,9999,NA,NA,NA
age 16-20,30,3379,monthly housing cost,838.7,9999,30,3400,838.7
age 21-25,26,2997,monthly housing cost,751.5,9999,24,3000,751.5
age 26-30,24,2688,monthly housing cost,468.4,9999,24,2700,468.4
age 31-35,9,954,monthly housing cost,773.6,9999,NA,NA,NA
age 36-40,33,3536,monthly housing cost,629.9,9999,33,3500,629.9
age 41-45,50,5650,monthly housing cost,372.7,9999,48,5600,372.7
age 46-50,8,1008,monthly housing cost,482.2,9999,9,1000,NA
age 51-55,43,4902,monthly housing cost,581.9,9999,42,4900,581.9
age 56-60,47,5452,monthly housing cost,880.1,9999,45,5500,880.1
age 61-65,9,1170,monthly housing cost,231.2,9999,9,1200,NA
age 66-70,11,1133,monthly housing cost,824.5,9999,12,1100,824.5
age 71-75,8,864,monthly housing cost,114.1,9999,NA,NA,NA
