person_uid,support_type,start_date,end_date,duration,cost
1,emergency,2024-09-25,2024-09-25,0,1377
2,emergency,2022-12-05,2022-12-05,0,204
3,emergency,2024-03-31,2024-03-31,0,0
4,periodic,2021-06-02,2021-06-02,0,190
5,emergency,2021-09-14,2021-09-14,0,1026
6,emergency,2022-08-09,2022-08-09,0,143
7,relief,2022-11-12,2022-11-12,0,100
8,emergency,2023-10-31,2023-10-31,0,244
9,relief,2024-12-15,2024-12-15,0,1540
10,emergency,2023-03-27,2023-03-29,2,1420
11,emergency,2021-01-16,2021-01-19,3,580
12,periodic,2020-09-13,2020-09-13,0,1610
13,relief,2021-11-09,2021-11-09,0,1520
14,periodic,2021-11-09,2021-11-09,0,1000
15,emergency,2022-09-14,2022-09-16,2,230
16,relief,2024-04-14,2024-04-14,0,1044
17,emergency,2024-07-11,2024-07-11,0,588
18,emergency,2021-02-26,2021-02-26,0,1200
19,emergency,2021-03-19,2021-03-19,0,1990
20,emergency,2022-12-31,2023-01-03,3,432
21,periodic,2024-05-14,2024-05-14,0,378
22,emergency,2021-12-10,2021-12-10,0,185
23,emergency,2023-09-14,2023-09-15,1,108
24,relief,2021-06-13,2021-06-13,0,189
25,emergency,2024-05-25,2024-05-25,0,1190
26,periodic,2021-02-27,2021-03-01,2,0
27,emergency,2022-01-15,2022-01-18,3,1269
28,emergency,2023-03-06,2023-03-07,1,1016
29,emergency,2022-06-22,2022-06-25,3,0
30,emergency,2022-04-12,2022-04-13,1,1281
31,periodic,2022-08-11,2022-08-12,1,1210
32,periodic,2021-11-27,2021-11-28,1,106
33,relief,2020-10-24,2020-10-25,1,576
34,relief,2021-08-30,2021-08-31,1,1032
35,emergency,2020-09-16,2020-09-18,2,845
36,relief,2022-12-16,2022-12-17,1,756
37,emergency,2024-11-27,2024-11-29,2,904
38,emergency,2024-04-27,2024-04-29,2,1072
39,emergency,2023-06-30,2023-07-01,1,1341
40,emergency,2022-01-10,2022-01-12,2,1192
