person_uid,date,year,month,region,license,expired
1,2018-11-14,2018,11,north,full,no
2,2018-02-18,2018,2,west,restricted,no
3,2019-12-12,2019,12,south,full,no
4,2019-02-22,2019,2,south,learner,no
5,2020-09-11,2020,9,north,learner,no
6,2017-12-06,2017,12,north,restricted,no
7,2015-02-11,2015,2,north,full,no
8,2016-12-19,2016,12,east,restricted,no
9,2019-12-09,2019,12,north,full,yes
10,2018-08-03,2018,8,south,restricted,no
11,2015-11-05,2015,11,north,full,yes
12,2016-02-12,2016,2,north,learner,yes
13,2016-08-14,2016,8,south,full,no
14,2020-02-02,2020,2,east,restricted,no
15,2020-10-13,2020,10,east,full,no
16,2018-05-28,2018,5,south,restricted,no
17,2018-03-09,2018,3,north,full,yes
18,2016-12-20,2016,12,east,restricted,no
19,2017-03-12,2017,3,west,full,no
20,2017-11-21,2017,11,west,learner,yes
21,2017-08-26,2017,8,north,restricted,yes
22,2020-01-24,2020,1,east,learner,no
23,2020-04-07,2020,4,south,restricted,no
24,2020-08-11,2020,8,west,learner,yes
25,2017-12-19,2017,12,south,restricted,yes
26,2016-05-25,2016,5,north,full,no
27,2020-05-06,2020,5,east,full,yes
28,2015-04-28,2015,4,east,learner,yes
29,2020-04-02,2020,4,east,learner,no
30,2020-01-28,2020,1,east,restricted,yes
31,2020-04-09,2020,4,east,full,no
32,2020-10-26,2020,10,south,full,no
33,2019-07-04,2019,7,west,full,no
34,2020-01-18,2020,1,south,full,no
35,2018-12-06,2018,12,south,learner,yes
36,2018-11-11,2018,11,west,full,no
37,2015-04-01,2015,4,north,learner,no
38,2020-10-16,2020,10,south,restricted,no
39,2016-03-24,2016,3,south,restricted,no
40,2018-02-24,2018,2,west,learner,no
