person_uid,age,sex,eth_european,eth_maori,eth_pacific,eth_asian,eth_melaa,eth_other,region
1,58,1,1,NA,NA,NA,NA,NA,north
2,58,1,1,NA,NA,NA,NA,NA,south
3,46,2,NA,1,NA,1,NA,NA,north
4,55,1,NA,NA,1,NA,NA,NA,south
5,50,1,1,NA,NA,1,NA,NA,south
6,37,1,1,1,NA,NA,NA,NA,north
7,24,1,1,NA,1,NA,NA,NA,south
8,50,1,NA,1,1,NA,NA,NA,south
9,23,2,1,NA,NA,NA,NA,NA,north
10,23,2,NA,NA,1,NA,NA,NA,north
11,60,1,1,NA,NA,NA,1,NA,south
12,25,1,NA,NA,1,NA,NA,1,north
13,36,2,NA,1,NA,NA,NA,NA,north
14,44,2,NA,NA,1,NA,NA,NA,north
15,25,2,1,1,NA,NA,NA,NA,north
16,41,2,1,NA,NA,NA,1,NA,south
17,54,1,NA,NA,NA,1,NA,NA,south
18,45,1,1,NA,NA,1,NA,NA,north
19,30,1,NA,1,NA,NA,NA,NA,north
20,56,1,NA,1,NA,1,NA,NA,south
21,24,2,1,1,NA,NA,NA,NA,north
22,42,2,NA,NA,NA,1,NA,NA,south
23,35,2,1,NA,NA,NA,NA,NA,south
24,22,2,NA,NA,NA,NA,NA,1,north
25,22,1,1,1,NA,NA,NA,NA,north
26,41,1,NA,NA,1,NA,NA,NA,south
27,42,1,NA,NA,NA,NA,1,NA,north
28,29,1,NA,1,NA,NA,NA,NA,south
29,26,2,NA,1,1,NA,NA,NA,south
30,40,1,1,NA,1,NA,NA,NA,south
