person_uid,age,sex,household_uid,region,employed,unemployed,income
1,20,1,99,north,yes,NA,1000
2,20,2,99,north,yes,NA,2000
3,50,1,88,north,yes,NA,3000
4,50,2,88,north,yes,NA,4000
5,40,2,88,north,NA,yes,NA
6,40,2,88,north,NA,yes,200
7,30,1,77,east,NA,yes,300
8,40,1,77,east,yes,NA,1000
9,60,2,77,east,yes,NA,2000
10,60,2,66,east,NA,yes,100
11,50,1,55,south,NA,NA,NA
12,50,1,55,south,NA,yes,200
13,40,2,55,south,NA,yes,NA
14,40,2,55,south,yes,NA,1000
15,30,1,55,south,yes,NA,2000
16,20,2,55,south,NA,yes,100
17,30,1,55,south,yes,NA,1000
18,60,1,44,west,yes,NA,2000
19,50,2,33,west,yes,NA,3000
20,40,2,33,west,NA,yes,100
