label,grplabel1,group1,grplabel2,group2,distinct1,count1,count2,sum,stddev,entity
people in regions,region,1,NA,NA,3,NA,NA,NA,NA,1
people in regions,region,2,NA,NA,3,NA,NA,NA,NA,1
people in regions,region,3,NA,NA,2,NA,NA,NA,NA,1
people w income,region,1,age_group,young,NA,2,2,NA,NA,NA
people w income,region,2,age_group,young,NA,1,1,NA,NA,NA
people w income,region,3,age_group,young,NA,1,0,NA,NA,NA
people w income,region,1,age_group,old,NA,2,1,NA,NA,NA
people w income,region,2,age_group,old,NA,2,1,NA,NA,NA
people w income,region,3,age_group,old,NA,0,0,NA,NA,NA
regions by island,island,north,NA,NA,2,6,NA,NA,NA,NA
regions by island,island,south,NA,NA,1,2,NA,NA,NA,NA
income for everyone,NA,NA,type,all,2,NA,NA,1800,215.4065923,3
